t,M1,M2,OPC
3/03/2016 12:38,10.41,15.5,4.33
3/03/2016 12:39,10.31,13.87,4.4
3/03/2016 12:40,10.56,11.94,4.07
3/03/2016 12:41,8.91,12.04,4.16
3/03/2016 12:42,8.49,11.99,4.18
3/03/2016 12:43,8.64,12.63,4.4
3/03/2016 12:44,8.66,11.64,4.21
3/03/2016 12:44,9.05,13.57,4.38
3/03/2016 12:45,8.55,13.87,4.09
3/03/2016 12:46,9.64,10.36,4.07
3/03/2016 12:46,8.91,13.72,4.13
3/03/2016 12:47,9.81,13.62,4.01
3/03/2016 12:48,10,13.37,3.93
3/03/2016 12:48,9.86,13.72,4.05
3/03/2016 12:49,9.5,12.19,4.18
3/03/2016 12:50,9.08,14.56,4.12
3/03/2016 12:50,9.44,13.97,4.1
3/03/2016 12:51,11.1,14.8,4.05
3/03/2016 12:52,10.9,16.05,4.57
3/03/2016 12:52,11,11.74,4.08
3/03/2016 12:54,10.59,12.14,4.26
3/03/2016 12:54,10.06,12.24,4.27
3/03/2016 12:55,9.95,13.92,4.3
3/03/2016 12:56,10.79,13.03,4.21
3/03/2016 12:56,9.64,12.53,4.24
3/03/2016 12:57,11.15,12.88,4.04
3/03/2016 12:58,9.58,13.97,4.28
3/03/2016 12:58,10.46,13.52,4.14
3/03/2016 12:59,9.81,12.73,4.22
3/03/2016 13:00,9.47,14.41,4.16
3/03/2016 13:01,9.56,12.29,4.13
3/03/2016 13:01,11.15,14.88,4.12
3/03/2016 13:02,9.81,15.5,4.12
3/03/2016 13:03,9.5,13.82,4.2
3/03/2016 13:03,9.83,14.96,4.07
3/03/2016 13:04,9.28,16.05,4.22
3/03/2016 13:05,10.9,14.46,4.11
3/03/2016 13:06,10.17,13.13,4.11
3/03/2016 13:07,9.97,11.35,4
3/03/2016 13:07,9.67,13.08,4.09
3/03/2016 13:08,9.56,12.53,4.09
3/03/2016 13:09,9.92,11.4,4.03
3/03/2016 13:09,10.33,11.05,4.06
3/03/2016 13:10,10.33,12.14,3.97
3/03/2016 13:10,10.06,12.09,3.95
3/03/2016 13:11,10.39,13.08,3.97
3/03/2016 13:12,9.56,12.93,4.13
3/03/2016 13:12,9.53,13.97,4.2
3/03/2016 13:13,10.97,12.48,4.06
3/03/2016 13:14,9.97,13.62,3.97
3/03/2016 13:15,10.87,12.19,3.92
3/03/2016 13:15,10.64,15,4.04
3/03/2016 13:16,9.89,12.43,3.98
3/03/2016 13:17,9.83,12.24,3.95
3/03/2016 13:17,11.54,11.99,4.01
3/03/2016 13:18,9.81,12.88,4.09
3/03/2016 13:19,10.39,11.69,3.99
3/03/2016 13:19,11.15,12.63,4.11
3/03/2016 13:20,10.41,13.57,4.2
3/03/2016 13:22,10.79,10.95,4.04
3/03/2016 13:23,10.46,12.34,4
3/03/2016 13:23,10.41,14.65,3.98
3/03/2016 13:24,9.44,11.79,3.99
3/03/2016 13:25,9.44,13.32,4.24
3/03/2016 13:25,11.1,15,4.18
3/03/2016 13:26,11.38,13.32,4.23
3/03/2016 13:27,10.36,13.63,4.11
3/03/2016 13:28,10.64,13.18,4.07
3/03/2016 13:28,11.08,12.68,4.15
3/03/2016 13:29,10.51,13.77,3.97
3/03/2016 13:30,10.09,13.42,4.13
3/03/2016 13:31,10.23,12.73,4.25
3/03/2016 13:31,10.74,13.42,4.16
3/03/2016 13:32,9.81,13.37,4.27
3/03/2016 13:33,8.58,12.24,4.27
3/03/2016 13:34,10.59,11.94,4.17
3/03/2016 13:34,10.74,12.98,4.08
3/03/2016 13:35,9.78,13.08,4.22
3/03/2016 13:36,9.67,13.57,4.2
3/03/2016 13:37,10.14,16.28,4.34
3/03/2016 13:37,10.95,12.58,4.35
3/03/2016 13:38,8.33,14.69,4.23
3/03/2016 13:39,10.11,14.8,4.15
