t,M1,M2,OPC
10/03/2016 13:33,11.27,20.6,7.817323944
10/03/2016 13:34,11.03,15.62,8.533746479
10/03/2016 13:35,14.14,16.24,9.875732394
10/03/2016 13:35,8.82,17.41,7.292042254
10/03/2016 13:36,9.74,13.95,7.187647887
10/03/2016 13:37,10.76,13.05,7.936394366
10/03/2016 13:37,8.77,14.44,6.89171831
10/03/2016 13:38,11.78,17.5,6.758014085
10/03/2016 13:39,10.96,11.32,8.197478873
10/03/2016 13:39,9.16,16.37,8.441140845
10/03/2016 13:40,10.11,14.69,7.765464789
10/03/2016 13:41,13.5,11.27,8.496140845
10/03/2016 13:41,9.83,14.1,9.738140845
10/03/2016 13:42,11.21,15.74,7.860183099
10/03/2016 13:43,12.14,12.16,8.306830986
10/03/2016 13:43,10.73,12.41,8.497929577
10/03/2016 13:44,7.5,17.11,7.845042254
10/03/2016 13:45,9.13,16.02,7.069746479
10/03/2016 13:45,10.21,14.44,7.295788732
10/03/2016 13:46,8.82,17.23,7.135042254
10/03/2016 13:47,8.2,14.19,7.607943662
10/03/2016 13:47,13.64,9.73,8.426521127
10/03/2016 13:48,15.84,11.17,10.052
10/03/2016 13:49,9.52,13.7,9.781591549
10/03/2016 13:49,10.18,13.15,7.886873239
10/03/2016 13:50,9.27,13.89,8.452943662
10/03/2016 13:51,9.88,21.25,7.468605634
10/03/2016 13:51,11.38,21.93,7.915338028
10/03/2016 13:52,10.91,14.68,8.455647887
10/03/2016 13:52,9.47,16.33,8.083661972
10/03/2016 13:53,10.06,14.04,7.958126761
10/03/2016 13:54,12.3,15.7,8.844591549
10/03/2016 13:54,9.72,13.1,8.100492958
10/03/2016 13:55,11.19,13.25,7.577816901
10/03/2016 13:56,14.2,13.25,8.428352113
10/03/2016 13:56,9.44,14.81,7.908126761
10/03/2016 13:57,10.6,16.76,7.581732394
10/03/2016 13:58,11.94,12,8.38415493
10/03/2016 13:58,14.52,13.35,9.918957746
10/03/2016 13:59,9.86,16.41,8.016676056
10/03/2016 14:00,9.18,11.31,7.970169014
10/03/2016 14:00,12.25,15.35,8.343295775
10/03/2016 14:01,11.17,16.21,7.709521127
10/03/2016 14:02,13.78,16.79,7.835901408
10/03/2016 14:02,9.16,13.25,7.282084507
10/03/2016 14:03,9.56,15.35,7.587014085
10/03/2016 14:04,10.47,15.98,7.02156338
10/03/2016 14:04,10.88,13.3,7.744929577
10/03/2016 14:05,11.86,17.43,7.846408451
10/03/2016 14:06,9.27,13.3,7.415591549
10/03/2016 14:06,11.03,12.95,7.83615493
10/03/2016 14:07,13.25,14.2,8.228577465
10/03/2016 14:08,13.39,15.12,7.816605634
10/03/2016 14:08,16.22,16.17,9.509492958
10/03/2016 14:09,11.74,14.4,8.621690141
10/03/2016 14:10,10.44,15.15,7.577676056
10/03/2016 14:10,11.04,21.18,7.327070423
10/03/2016 14:11,13.64,16.53,8.066788732
10/03/2016 14:12,10.34,19.4,8.287056338
10/03/2016 14:13,9.35,15,7.467380282
10/03/2016 14:13,10.55,14.76,7.809366197
10/03/2016 14:14,11.49,15.59,8.571704225
10/03/2016 14:15,12.26,16.05,7.890633803
10/03/2016 14:15,10.59,14,7.171323944
10/03/2016 14:16,10.39,14.14,8.335746479
10/03/2016 14:17,9.89,15.97,7.674225352
10/03/2016 14:17,10.44,17.84,7.768450704
